question_id,type,difficulty,topic,question,option_a,option_b,option_c,option_d,correct_option,
1,Saving & Spending,MCQ,Hard,A student receives 10000 as a one-time scholarship and expects no income for the next 3 months. Which option best balances spending and saving?,Spend most now and save later,Save the entire amount,Allocate money monthly for essentials and save the rest,Spend on non-essentials while prices are low,C,
2,Budgeting,MCQ,Hard,A monthly budget shows expenses always exceeding income even after cutting wants. What is the most logical next step?,Ignore the budget,Use credit cards regularly,Increase income or reduce fixed costs,Stop tracking expenses,C,
3,Banking,True/False,Medium,Keeping large amounts of money idle in a savings account for many years may reduce its real value due to inflation.,TRUE,FALSE,,,A,
4,Digital Payments,MCQ,Hard,A user receives a UPI collect request from an unknown person marked as refund. What is the safest action?,Approve to check details,Reject and report the request,Ask sender for OTP,Pay a small amount first,B,
5,Interest,MCQ,Hard,Two banks offer 10% annual interest: Bank A uses simple interest Bank B uses compound interest annually. After 3 years which statement is correct?,Both give same amount,Bank A gives more,Bank B gives more,Cannot be compared,C,
6,Loans & Credit,True/False,Medium,Even a low-interest loan can become expensive if the repayment period is very long.,TRUE,FALSE,,,A,
7,Insurance,MCQ,Medium,Why is health insurance more critical than life insurance for a teenager with dependent parents?,Premiums are cheaper,Medical emergencies are unpredictable,It gives higher returns,It replaces savings,B,
8,Investment,MCQ,Hard,Which factor most strongly affects long-term investment returns?,Daily price changes,Timing the market perfectly,Staying invested over time,Investing large amounts at once,C,
9,Inflation,True/False,Hard,If inflation is 6% and your savings grow at 5% your real wealth increases.,TRUE,FALSE,,,B,
10,Frauds & Financial Safety,MCQ,Hard,Which situation shows a phishing attempt rather than a genuine bank communication?,Asking to visit branch with ID,Email asking for login details via link,SMS about failed transaction,App notification after payment,B,
11,Saving & Spending,MCQ,Hard,A student has fixed expenses for food and travel every month and limited income. Which action best improves financial stability over time?,Reduce savings to spend more,Track expenses and cut unnecessary costs,Borrow small amounts regularly,Ignore small daily expenses,B,
12,Budgeting,MCQ,Hard,A budget shows higher spending during exam months due to coaching fees. What is the smartest adjustment?,Remove savings permanently,Increase budget only for that period,Stop tracking budget,Take a loan every exam month,B,
13,Banking,MCQ,Medium,Why is keeping money in multiple bank accounts sometimes useful?,It always increases interest,It reduces all risks completely,It helps manage risk and access,Banks require it by law,C,
14,Digital Payments,True or False,Medium,Using the same password for multiple payment apps increases security risk?,TRUE,FALSE,,,A,
15,Interest,MCQ,Hard,If interest is compounded annually then the interest earned each year increases because?,Principal reduces,Interest adds to previous interest,Rate changes automatically,Time becomes shorter,B,
16,Loans & Credit,MCQ,Hard,A person pays only the minimum amount due on a credit bill each month. What is the most likely result?,Loan ends faster,Total interest paid increases,Credit score improves instantly,Repayment time decreases,B,
17,Insurance,True or False,Medium,Insurance is most useful for events that are rare but cause high financial loss?,TRUE,FALSE,,,A,
18,Investment,MCQ,Hard,An investor chooses to diversify investments. What is the main reason?,To guarantee profit,To reduce overall risk,To avoid taxes,To increase short term gains,B,
19,Inflation,MCQ,Hard,If prices rise faster than income over many years what happens to standard of living?,It improves,It remains same,It decreases,It becomes unpredictable,C,
20,Frauds & Financial Safety,MCQ,Hard,Which action best protects against online financial fraud?,Sharing details with friends,Ignoring app updates,Verifying sources before clicking,Responding quickly to unknown calls,C,
21,Saving & Spending,MCQ,Hard,A student saves money every month but often withdraws it for wants. What is the biggest long term problem with this habit?,Lower bank balance,No interest earned,Failure to build real savings,Increased spending power,C,
22,Budgeting,MCQ,Hard,A person follows a budget but ignores irregular expenses like repairs. What is the most likely outcome?,Budget always balances,Sudden financial stress,Higher savings,Better planning accuracy,B,
23,Banking,True or False,Medium,Keeping money in a bank account is safer than storing large cash amounts at home?,TRUE,FALSE,,,A,
24,Digital Payments,MCQ,Hard,A payment app shows a failed transaction but money is debited. What is the best first action?,Panic and repay,Contact bank or app support,Share details online,Ignore the issue,B,
25,Interest,MCQ,Hard,Two investments have the same rate and time but one compounds annually and the other quarterly. Which gives higher returns?,Annual compounding,Quarterly compounding,Both same,Cannot be determined,B,
26,Loans & Credit,MCQ,Hard,Why is taking multiple small loans at the same time risky?,Easier repayment,Lower interest,Higher combined repayment burden,Better credit score,C,
27,Insurance,MCQ,Medium,Why do people pay insurance premiums regularly even if they may not claim?,To earn interest,To avoid saving,For financial protection,To increase income,C,
28,Investment,True or False,Hard,Investing only in one asset type increases financial risk?,TRUE,FALSE,,,A,
29,Inflation,MCQ,Hard,If income remains constant while inflation rises steadily what happens over time?,Purchasing power increases,Purchasing power stays same,Purchasing power decreases,Wealth doubles,C,
30,Frauds & Financial Safety,MCQ,Hard,A message promises reward money for clicking a link. What should be done first?,Click quickly,Share with friends,Verify from official source,Reply to sender,C,
31,Saving & Spending,MCQ,Hard,A student increases income but spending rises at the same rate. What happens to savings over time?,Savings increase,Savings stay same,Savings do not improve,Savings double,C,
